"Food spots near 1 Civic/BCI, Woodbine MS, and 140 Borough; some are takeout spots, some are sit-down restaurants, and some may be just for taking some snacks into the office! 😊

Managed by Kevin :)",,,,
,,,,
Title,Note,URL,Tags,Comment
,,,,
Bingz Crispy Burger Fairview Mall,"this place has opened up a lot of locations recently, little crispy chinese ""crepes"" with meat filling + other small dishes. i don't mind this sort of food but it can be a little one-dimensional (NORTH YORK)",https://www.google.com/maps/place/Bingz+Crispy+Burger+Fairview+Mall/data=!4m2!3m1!1s0x89d4d3db92110b79:0x18c5a2c8477c0345,,
Good Catch Cafe (Fairview Mall),"hong kong cafe specialties like cantonese baked casseroles, tea, and other small dishes. this place opened pretty recently in fairview mall and while the reviews don't look especially promising, i think it's worth a try :) (NORTH YORK)",https://www.google.com/maps/place/Good+Catch+Cafe+(Fairview+Mall)/data=!4m2!3m1!1s0x89d4d30c843ee65d:0x1e74be5ed4042332,,
Lavash Authentic Armenian Restaurant,"seems like a place you'd only come to if you had a little extra time. armenian/middle eastern food; not a lot of places serving some of these dishes, so worth a go if there is a day you're wanting a ""long lunch"" at (NORTH YORK)",https://www.google.com/maps/place/Lavash+Authentic+Armenian+Restaurant/data=!4m2!3m1!1s0x89d4d31729e65e61:0xeb4f4058976734e7,,
Congee Wong,"congee, cantonese dishes, and a big menu at finch and leslie. i have not been to this location but congee places like this are always pretty consistent and good (NORTH YORK)",https://www.google.com/maps/place/Congee+Wong/data=!4m2!3m1!1s0x89d4d3276580b45b:0xf73cf7c818c269bf,,
Allan’s Pastry Shop,"authorized reseller of allan's jamaican pastries located right in peanut plaza, have not tried yet but would be a very easy way to get some snacks for the team (NORTH YORK)",https://www.google.com/maps/place/Allan%E2%80%99s+Pastry+Shop/data=!4m2!3m1!1s0x89d4d2e22d12cba5:0x2e4c09ab89b3922f,,
Shi MiaoDao (Ten Seconds) Yunnan Rice Noodle (NorthYork) 十秒到云南过桥米线,"yunnan style rice noodles, looks like plenty of options, quick service (NORTH YORK)",https://www.google.com/maps/place/Shi+MiaoDao+(Ten+Seconds)+Yunnan+Rice+Noodle+(NorthYork)+%E5%8D%81%E7%A7%92%E5%88%B0%E4%BA%91%E5%8D%97%E8%BF%87%E6%A1%A5%E7%B1%B3%E7%BA%BF/data=!4m2!3m1!1s0x89d4d333fb3fc62f:0x7eb511b3c82f6314,,
St. Andrews Fish & Chips,i might be getting baited but i have heard this place has some really good fish and chips. i feel like every fish and chips spot i've ever tried here has just been an oily mess (and this place probably is) but on the off chance this is actually good it might be worth a go (SCARBOROUGH),https://www.google.com/maps/place/St.+Andrews+Fish+%26+Chips/data=!4m2!3m1!1s0x89d4d1ae59f96621:0xb15dc122a74dd39,,
One2Snacks,"donnie-approved malay shop. takeout only, with long wait times. good to order ahead of time via phone. char kway teow was good, laksa ok. ask donnie for what he thinks is best :D (SCARBOROUGH)",https://www.google.com/maps/place/One2Snacks/data=!4m2!3m1!1s0x89d4d17127224fdd:0xc11bdf7a79522999,,
THG's Hot Chicken,"fried chicken, sliders, fries, mac, etc. have not been but have been told this place is really good. probably good on a day where you know the afternoon is going to be uneventful as you'll probably need a nap later (SCARBOROUGH)",https://www.google.com/maps/place/THG's+Hot+Chicken/data=!4m2!3m1!1s0x89d4d12d3dcaedc9:0x5a8d01b725126e4a,,
Canbe Foods Inc,recommended spot for samosas and other sri lankan/south indian snack (SCARBOROUGH),https://www.google.com/maps/place/Canbe+Foods+Inc/data=!4m2!3m1!1s0x89d4d1acaa8ee337:0x6a14a5243bb2975f,,
Floga Estiatorio and Event Space,"fancier greek place, have not tried but environment, service, and food all look quite good :) (SCARBOROUGH)",https://www.google.com/maps/place/Floga+Estiatorio+and+Event+Space/data=!4m2!3m1!1s0x89d4d1554570c6b5:0x4a3193092d3f808f,,
Francesca Italian Bakery & Delicatessen,have not been here but there is an italian bakery/deli across from the roti hut. looks to be very popular. would like to give it a go (SCARBOROUGH),https://www.google.com/maps/place/Francesca+Italian+Bakery+%26+Delicatessen/data=!4m2!3m1!1s0x89d4d10f91c6802d:0x65336c2ba7fdb5a8,,
Mona's Roti,"little bit east of mccowan and sheppard, another west indian roti and doubles spot. i had it once and everything was very good, but i recommend against ordering bone-in (so much bone, so little meat!) (SCARBOROUGH)",https://www.google.com/maps/place/Mona's+Roti/data=!4m2!3m1!1s0x89d4d11b87cff7fb:0xa7b255e35d8c5029,,
The Roti Hut,"apparently this was a place that the telecom team enjoyed going to when they were out east. west indian roti, doubles, etc. mona's roti is also nearby, may be worth trying both out :) i have not been yet! (SCARBOROUGH)",https://www.google.com/maps/place/The+Roti+Hut/data=!4m2!3m1!1s0x89d4d10faf7a0ecb:0x8664f18d70e47546,,
FAT FORK,"huge portions of greek food. amin seems to really like this place, and i thought it was pretty good too. (ETOBICOKE)",https://www.google.com/maps/place/FAT+FORK/data=!4m2!3m1!1s0x882b39e3a9f0d26f:0xb1f4ae606b32620a,,
Brandt Meat Manufacturing Plant & European Food Market Factory Outlet,"this was one of my favourite places to come when i was at civic. little european grocery/butcher that has a hot table with sausages, schnitzel, cabbage rolls, etc. probably not the best if you are more than 3-4 people but i have always enjoyed lunch + some shopping (ETOBICOKE)",https://www.google.com/maps/place/Brandt+Meat+Manufacturing+Plant+%26+European+Food+Market+Factory+Outlet/data=!4m2!3m1!1s0x882b47f8f6aee7d1:0x59d7e8c01a56461,,
IKEA North York,"ikea lunch :) they might have some discounts on some days, worth giving it a look (NORTH YORK)",https://www.google.com/maps/place/IKEA+North+York/data=!4m2!3m1!1s0x89d4d2b9b9f7d2b7:0xcc4ca2567a2a8fca,,
ON HING BBQ,"andy and i gave this place in peanut plaza a try, i thought it was above average compared to other cantonese bbq spots, and was very inexpensive (NORTH YORK)",https://www.google.com/maps/place/ON+HING+BBQ/data=!4m2!3m1!1s0x89d4d3d5dae265f9:0xf0389ca0ab422da8,,
Congee Queen - Mississauga(Dundas&Hwy427),"andy amin and gave this a visit as our first lunch outing as a group, i think our selections could have been a little better but congee places like this are always going to be consistent, and only gets better as the group scales!! (ETOBICOKE)",https://www.google.com/maps/place/Congee+Queen+-+Mississauga(Dundas%26Hwy427)/data=!4m2!3m1!1s0x882b393d376a42f5:0xf3a2ce15bc7b45e6,,
Starsky Fine Foods,i have not been but i hear starsky is a great grocery store. unsure of how good their hot table is but i'd like to give it a go sometime (ETOBICOKE),https://www.google.com/maps/place/Starsky+Fine+Foods/data=!4m2!3m1!1s0x882b38065d1e0d8d:0x6a011bc24b153baa,,
Blue Danube Sausage House Ltd.,"tiny little butcher with a hot table that serves schnitzel and a rotating weekly menu. have not tried, but the sausages they make here are supposed to be really good as well (ETOBICOKE)",https://www.google.com/maps/place/Blue+Danube+Sausage+House+Ltd./data=!4m2!3m1!1s0x882b3809a82a2907:0xe418bfa505b55f58,,
Tropical South by the Cuban Thing,idk if this place actually exists or not but apparently its a food truck serving cuban style food. it looks really good but it might not even be a thing (ETOBICOKE),https://www.google.com/maps/place/Tropical+South+by+the+Cuban+Thing/data=!4m2!3m1!1s0x882b37586009d9a1:0xcf4363401b8da7d6,,
Lezzet Shawarma Falafel House,"SO FAR my favourite shawarma spot in the west. huge portion, tender meat, and a reasonable amount of rice, salad, sauce (which is what makes or breaks these sorts of restaurants for me). would recommend to get here earlier than later, as sometimes there is a bit of a line (ETOBICOKE)",https://www.google.com/maps/place/Lezzet+Shawarma+Falafel+House/data=!4m2!3m1!1s0x882b388061bc2fc7:0x149cd887591b6fd,,
Palmyra Mediterranean House,"family owned lebanese restaurant. shawarma, kebab, etc. would love to give this place a try sometime (ETOBICOKE)",https://www.google.com/maps/place/Palmyra+Mediterranean+House/data=!4m2!3m1!1s0x882b38587cbf1c2d:0xc0bfa33177a416e,,
Banh Mi Ba Le,"banh mi, really inexpensive and pretty good taste, but it's a bit of a drive (ETOBICOKE)",https://www.google.com/maps/place/Banh+Mi+Ba+Le/data=!4m2!3m1!1s0x882b479651a1a113:0x8e2d7b3044183c4,,
